distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
0.859897172,69,28,7.5,0,10,75,8,29.82,435.8741633
0.628534704,69,28,7.5,0,10,77,5,29.85,421.4033819
0.397172237,69,28,7.5,0,10,70,0,29.89,449.2851006
0.165809769,69,28,7.5,0,10,33,0,29.91,592.2730623
0.065552699,69,28,7.5,0,10,21,3,29.89,612.1808655
0.296915167,69,28,7.5,0,10,20,23,29.85,630.8878531
0.528277635,69,28,7.5,0,10,36,15,29.83,607.4046821
0.759640103,69,28,7.5,0,10,49,6,29.86,555.0838491
0.862113402,72,29,6.8,0,10,67,6,29.86,475.2850679
0.630154639,72,29,6.8,0,10,49,0,29.87,545.6845828
0.398195876,72,29,6.8,0,10,54,0,29.9,525.8321771
0.166237113,72,29,6.8,0,10,64,0,29.92,480.6873916
0.065721649,72,29,6.8,0,10,23,9,29.88,618.3447366
0.297680412,72,29,6.8,0,10,30,18,29.84,620.3887928
0.529639175,72,29,6.8,0,10,65,11,29.84,492.8864515
0.761597938,72,29,6.8,0,10,75,5,29.85,433.9011515
0.86545925,73,29,7.9,0,10,72,6,29.84,451.5212818
0.632600259,73,29,7.9,0,10,78,6,29.86,421.7705163
0.399741268,73,29,7.9,0,10,63,0,29.88,486.4044003
0.166882277,73,29,7.9,0,10,69,3,29.88,462.0665266
0.065976714,73,29,7.9,0,10,33,10,29.84,607.6226755
0.298835705,73,29,7.9,0,10,27,20,29.81,625.4076912
0.531694696,73,29,7.9,0,10,53,14,29.81,552.5508813
0.764553687,73,29,7.9,0,10,70,6,29.85,461.5188748
0.86770428,76,30,6.9,0,10,73,0,29.83,440.0352674
0.634241245,76,30,6.9,0,10,78,6,29.82,424.2853025
0.40077821,76,30,6.9,0,10,70,0,29.84,454.5574306
0.167315175,76,30,6.9,0,10,64,3,29.85,487.7381628
0.06614786,76,30,6.9,0,10,62,6,29.79,501.7591956
0.299610895,76,30,6.9,0,10,30,15,29.75,616.4768757
0.53307393,76,30,6.9,0,10,27,17,29.74,621.5503123
0.766536965,76,30,6.9,0,10,33,5,29.77,599.2675425
0.869791667,77,29,8.5,0,10,53,3,29.77,536.4628913
0.635416667,77,29,8.5,0,10,70,7,29.76,465.5430483
0.401041667,77,29,8.5,0,10,61,0,29.8,497.4209592
0.166666667,77,29,8.5,0,10,64,3,29.82,488.3623815
0.067708333,77,29,8.5,0,10,49,5,29.78,555.1625394
0.302083333,77,29,8.5,0,10,19,22,29.75,627.481675
0.536458333,77,29,8.5,0,10,51,15,29.76,561.9664032
0.770833333,77,29,8.5,0,10,37,8,29.79,595.479602
0.870925684,75,30,8.6,1,10,57,6,29.78,524.8322283
